Title,Longitude,Latitude
Rexall,-8449924.393,5674684.315100000239909
Metro,-8449957.408,5674714.391400000080466
Corner Store,-8450440.001,5674824.391200000420213
Costco,-8429366.379,5674865.171500000171363
Maya Market,-8432896.077,5675153.544900000095367
Circle K,-8451027.111,5675542.005099999718368
Circle K,-8436501.482,5675550.225800000131130
Big Joe's Convenience,-8436392.701,5675589.915400000289083
Petro-Canada,-8433143.93,5675623.634600000455976
Circle K,-8425821.097,5675631.744099999777973
Petro-Canada,-8423520.913,5675657.876699999906123
Sunny Mart,-8423354.713,5675660.490100000053644
Shoppers Drug Mart,-8430348.941,5675959.738199999555945
Carp Foodliner,-8464282.172,5675983.114000000059605
Petro-Canada,-8398361.509,5675983.197100000455976
Metro,-8430010.062,5676001.219499999657273
Farm Boy,-8418649.915,5676104.710300000384450
Farm Boy,-8430477.738,5676230.153699999675155
Silk Road Foods,-8430530.359,5676386.850499999709427
Shell Select,-8436708.281,5676398.935600000433624
Walmart Supercentre,-8438604.92,5676471.844200000166893
Pioneer - Gas Station,-8418553.446,5676480.778699999675155
Circle K,-8420807.644,5676536.787100000306964
Circle K,-8434659.768,5676618.027800000272691
Circle K,-8430624.98,5676811.718100000172853
Shoppers Drug Mart,-8423707.896,5676812.922399999573827
Shirin Market,-8451838.92,5676850.762600000016391
Metro,-8423786.188,5676879.149799999780953
Quickie,-8423576.462,5676931.628499999642372
Shell Select,-8452075.418,5676955.799100000411272
Your Independent Grocer,-8430313.586,5676993.785500000230968
Loblaws,-8433508.835,5677099.092699999921024
MacEwen,-8441971.179,5677111.146800000220537
Iris Food Mart,-8435542.12,5677203.719999999739230
FreshCo,-8430526.429,5677234.023799999617040
Rexall,-8430530.817,5677270.689699999988079
African Queen,-8421170.668,5677302.631000000052154
Shell Select,-8420573.64,5677318.630400000140071
Petro-Canada,-8420419.996,5677360.228900000452995
Prince of Wales Market,-8427450.014,5677378.065299999900162
Petro-Canada,-8438996.721,5677404.186599999666214
Shell Select,-8430923.806,5677460.755699999630451
Indian Supermarket,-8430759.065,5677484.311700000427663
South Asian Supermarket,-8438826.736,5677507.122600000351667
Shoppers Drug Mart,-8452787.229,5677507.343700000084937
Uncle Ali's Super Market,-8438834.506,5677523.534199999645352
Walmart Supercentre,-8421853.491,5677546.188400000333786
Circle K,-8433113.762,5677557.688599999994040
Vaishali Superstore,-8438794.843,5677557.751600000075996
Shoppers Drug Mart,-8438517.301,5677560.254499999806285
Metro,-8420677.489,5677563.819899999536574
Ultramar,-8430828.116,5677581.292399999685585
Damas Supermarket,-8438720.515,5677585.790900000371039
Shoppers Drug Mart,-8420729.687,5677598.005699999630451
Manila Mart,-8438157.093,5677814.369500000029802
Grab N' Eat Grocers,-8438089.834,5677849.570100000128150
Hungry Ninja,-8430930.308,5677867.852099999785423
OK Mart,-8431127.065,5677940.582700000144541
Loblaws,-8422064.965,5677970.920699999667704
Sobeys,-8452916.916,5678036.869699999690056
Bulk Barn,-8422177.954,5678264.305399999953806
M&J Tropical,-8431096.741,5678349.126699999906123
Bulk Barn,-8430596.115,5678398.714700000360608
Food Basics,-8430554.203,5678445.134300000034273
Shoppers Drug Mart,-8430718.466,5678464.351900000125170
MacEwen Hunt Club,-8419246.689,5678469.137099999934435
Petro-Canada,-8431227.909,5678574.508500000461936
Loblaws,-8430829.485,5678680.056400000117719
Quickie,-8431431.112,5678722.769999999552965
Shoppers Drug Mart,-8436874.147,5678814.091699999757111
Sunmax Supermarket,-8428245.08,5678827.432599999941885
Farm Boy,-8437077.004,5678842.134999999776483
Quickie,-8437091.22,5678851.847099999897182
Walmart Supercentre,-8431184.328,5678983.208200000226498
Circle K,-8417999.075,5679021.788900000043213
Super Convenience Mart,-8420963.737,5679040.072599999606609
Rexall,-8436325.708,5679056.201899999752641
Quickie,-8436657.619,5679184.427299999631941
Metro,-8436426.554,5679217.383500000461936
Food Village,-8427144.553,5679473.764399999752641
Hasty Market,-8435687.303,5679516.101200000382960
Shoppers Drug Mart,-8427059.65,5679521.552299999631941
Shell Select,-8435040.458,5679708.586299999617040
Shell Select,-8427081.279,5679721.373800000175834
Farmer's Pick,-8427251.999,5679760.321200000122190
Carlsbad Variety,-8399689.016,5679796.861999999731779
Alameh,-8418086.439,5679821.437199999578297
Quickie,-8418079.236,5679827.537800000049174
Morrocan Market Centre,-8435148.928,5679835.570299999788404
Bulk Barn,-8434543.517,5679848.325799999758601
Shoppers Drug Mart,-8434490.896,5679898.524400000460446
Shoppers Drug Mart,-8422835.998,5679928.124499999918044
Savannah Afro Caribbean Products,-8422950.801,5680022.073200000450015
Your Independent Grocer,-8422769.774,5680319.613300000317395
Loblaws,-8434434.702,5680345.727300000376999
Quickie,-8430770.386,5680408.225599999539554
Alta Juba Supermarket,-8421730.216,5680486.444299999624491
Rexall,-8434572.058,5680492.814899999648333
Circle K,-8421720.587,5680525.411000000312924
New Middleast Market,-8422930.998,5680546.994099999777973
Easyday Convenience,-8415546.862,5680658.492200000211596
Ultramar,-8415413.824,5680718.916500000283122
Circle K,-8433273.361,5680983.246399999596179
Geeland International Grocery,-8420765.699,5681128.886300000362098
Circle K,-8423258.723,5681148.584599999710917
Rexall,-8420896.257,5681188.033499999903142
Canadian Tire Gas+,-8423447.22,5681226.333899999968708
Circle K,-8430545.632,5681388.173200000077486
Shoppers Drug Mart,-8423422.54,5681429.791000000201166
Food Basics,-8420564.033,5681444.117999999783933
Quickie,-8420204.17,5681576.562699999660254
King Confectionary,-8430039.829,5681636.580500000156462
Shell Select,-8432172.767,5681655.218100000172853
Shell Select,-8430628.387,5681716.140599999576807
Farm Boy,-8423575.761,5681769.456500000320375
A&M Confectionary,-8423979.973,5681990.724200000055134
Circle K,-8419172.951,5682015.385900000110269
Ultramar,-8415920.016,5682025.593100000172853
MacEwan,-8456872.032,5682058.144999999552965
Rexall,-8424496.638,5682348.752000000327826
Walmart Supercentre,-8424597.93,5682367.546900000423193
MF Foodmart,-8430522.355,5682379.751099999994040
La Tiendita,-8430517.58,5682396.710500000044703
Your Independent Grocer,-8424263.67,5682474.058799999766052
Rexall,-8431388.065,5682512.526499999687076
Shoppers Drug Mart,-8430802.647,5682535.002000000327826
Food Basics,-8431212.737,5682558.238400000147521
Bulk Barn,-8424160.066,5682609.340200000442564
Cedars & Co Food Market,-8420783.533,5682821.055200000293553
Bambeeno's Tuckshop,-8424063.485,5682863.392199999652803
Shell Select,-8417803.654,5682980.562199999578297
Al Kalaa ha lal meat,-8431660.531,5682997.268099999986589
Metro,-8417899.767,5683046.105999999679625
Circle K,-8419132.108,5683056.266499999910593
Shoppers Drug Mart,-8433231.65,5683186.467299999669194
Cedars & Co. Food Market,-8424644.172,5683287.837899999693036
Quickie,-8424943.677,5683515.388799999840558
Circle K,-8432493.256,5683667.710599999874830
Shoppers Drug Mart,-8425092.69,5683814.043600000441074
Real Canadian Superstore,-8432175.116,5683829.420199999585748
Ainee's Convenience Store,-8418247.618,5683952.436900000087917
Quickie,-8418160.5,5683978.356100000441074
Divorsia Market,-8428393.291,5683994.350800000131130
Sherwood Market & Deli,-8428379.666,5684100.533099999651313
Farm Boy,-8432443.819,5684113.833499999716878
Your Independent Grocer,-8418442.183,5684417.487099999561906
Metro,-8431395.434,5684461.384700000286102
Whole Foods Market,-8425270.255,5684617.607599999755621
Eksess Store,-8430619.693,5684636.631900000385940
Rexall,-8418534.409,5684677.296900000423193
Shafie Food Centre,-8418428.502,5684834.174200000241399
Neighbours Coffee,-8430184.166,5684859.730700000189245
Bashayer Convenience,-8423043.831,5684911.955099999904633
Abbas Grocery,-8427261.684,5685045.053500000387430
Hogan's Food Store,-8427075.335,5685066.536299999803305
Aljazeera Food Market,-8429761.765,5685167.784699999727309
Shoppers Drug Mart,-8425623.495,5685231.061700000427663
Rexall,-8430628.721,5685247.867600000463426
Metro,-8425652.104,5685250.277900000102818
Quickie,-8426974.713,5685260.377399999648333
OConnor Confectionary,-8425193.1,5685454.761900000274181
Circle K,-8429560.332,5685478.972699999809265
Shoppers Drug Mart,-8425745.245,5685482.429399999789894
Quickie,-8430357.168,5685492.084999999962747
Afro-Caribbean Groceries,-8418649.304,5685575.485500000417233
Roma Confectionary,-8428038.817,5685668.335500000044703
Bienvenidos Latin Market,-8418688.678,5685709.386699999682605
Quickie,-8427515.837,5685782.497399999760091
Lyndale Corner Food Mart,-8430321.067,5685851.486700000241399
Zero Waste grocery store,-8428969.348,5686000.962700000032783
Vista Min-a-Mart,-8422133.638,5686079.008200000040233
Shoppers Drug Mart,-8422117.241,5686105.060399999842048
Hung Phat Grocery,-8428186.215,5686118.997899999842048
New Olympia Market Centre,-8426975.615,5686144.669700000435114
Domestic Foods,-8427007.731,5686169.802400000393391
Margo Fresh,-8426896.756,5686181.330199999734759
Silvercity Food Market,-8430592.208,5686200.009100000374019
Lim Bangkok Grocery,-8428017.499,5686236.796799999661744
Preston Food Market,-8428526.251,5686246.326600000262260
C-Store,-8426064.743,5686262.072399999946356
Phuoc Loi Orient Grocery,-8428040.23,5686267.511300000362098
Mid-East Foods,-8419120.308,5686317.048600000329316
NU Grocery,-8424476.135,5686323.660500000230968
Manphong Supermarket,-8427962.095,5686324.548299999907613
Little Latin America,-8427854.794,5686328.116000000387430
Arum Korean Market,-8426067.815,5686343.085099999792874
Seoul Mart,-8425247.535,5686347.509100000374019
Kowloon,-8427735.46,5686378.097099999897182
Loblaws,-8425305.243,5686378.097099999897182
Shiraz Market,-8427829.247,5686394.493099999614060
Price Group,-8419221.676,5686485.481599999591708
Petro-Canada,-8427534.728,5686491.601900000125170
Pioneer - Gas Station,-8420308.432,5686506.000599999912083
Bulk Barn,-8420032.126,5686510.472500000149012
Yi Chang Tang,-8427578.544,5686518.860399999655783
Circle K,-8426173.747,5686561.025000000372529
